,10日平均交易量,13周价格变化,26周价格变化,3个月平均交易量,52周最高价, 52周最高日期,52周最低价,52周最低日期,52周价格变化,5天价格变化,beta,市值,当月价格变化,13周同比ToS&P500价格,26周同比ToS&P500价格,52周同比ToS&P500价格,4周同比ToS&P500价格,年度同比ToS&P500价格,当年同比ToS&P500价格,交易所,股票代码
0,101.5452,-10.36036,-14.32964,2299.16637,17.6,2019-10-14,11.6,2019-06-04,0.57762,5.29101,0.61422,270324.4,8.82812,-10.69374,-23.010720000000003,1.9666400000000002,-9.246260000000001,-17.61758,-15.31915,SZ,000001.SZ
1,69.41598,-7.52243,1.0177200000000002,1765.72104,33.6,2020-01-02,24.18,2020-03-19,-7.20222,3.07692,0.78692,297694.9,4.48343,-7.86636,-9.21853,-5.34305,-16.2662,-18.97891,-16.71846,SZ,000002.SZ
2,2.53009,21.29711,52.17152,121.5898,49.0,2020-03-03,17.03,2019-10-30,9.49367,-3.8555099999999998,1.32235,4568.657,-9.27565,20.84599,36.7518,-16.20136,-1.20107,19.2063,22.53209,SZ,000004.SZ
3,6.168419999999999,-9.76431,-11.258280000000001,222.6723,4.12,2019-09-05,2.4,2020-02-04,-18.787879999999998,-1.47059,1.33722,2836.8790000000004,-2.18978,-10.099910000000001,-20.25058,-7.812360000000001,-26.720240000000004,-15.622689999999999,-13.26861,SZ,000005.SZ
4,20.565070000000002,-1.77165,-4.58891,301.09367000000003,5.94,2019-05-06,4.21,2020-02-04,-18.196720000000003,-2.15686,1.1056,6736.475,11.38393,-2.13698,-14.257029999999999,5.0439300000000005,-26.18682,-9.42985,-6.902989999999999,SZ,000006.SZ
5,4.37536,-12.623489999999999,-11.06145,176.66606000000002,11.69,2019-11-20,5.8,2019-05-06,26.34921,-1.7284,,2757.804,-1.6069200000000001,-12.94845,-20.0737,-7.5008,14.0081,-18.48476,-16.21053,SZ,000007.SZ
6,27.52373,-7.0175399999999994,-7.28863,817.99179,4.25,2019-09-23,2.77,2020-02-04,-25.874129999999997,0.6329100000000001,1.25383,8842.93,1.27389,-7.363360000000001,-16.68318,-6.23987,-33.114340000000006,-14.77445,-12.39669,SZ,000008.SZ
7,70.84475,1.2345700000000002,43.85965,2362.40775,9.2,2020-02-26,4.17,2019-08-15,27.378690000000002,4.29253,1.52484,16919.64,11.564630000000001,0.85806,29.28218,-0.82752,14.93704,3.10092,5.97738,SZ,000009.SZ
8,4.80071,8.89488,14.12429,75.55364,4.43,2020-04-28,2.81,2019-05-15,18.12865,0.7481300000000001,1.02005,3312.2129999999997,15.42857,8.489889999999999,2.55995,8.349039999999999,6.590489999999999,15.59839,18.823529999999998,SZ,000010.SZ
9,5.52295,2.83447,0.11037999999999999,101.86157,11.22,2019-09-04,7.15,2020-02-04,-16.018520000000002,-0.32966999999999996,1.12618,5112.068,9.145610000000001,2.45201,-10.03393,4.24955,-24.22137,-6.22933,-3.6131800000000003,SZ,000011.SZ
